NAI3画风法典,,,,,,,,,,,,,,,,,
"目录：
①独立风格（不以wlop、老五样为主的画风，是创新的优秀魔法！）
……行4-行163
②wlop系（厚涂、写实、丰富的背景）
……行164-行175
③弱wlop系（wlop的基础上融合其他画师特点）
……行176-行201
④老五样系（二次元风格，较好的人体，鲜艳的色彩）
……行202-行210","⑤弱老五样系（老五样的基础上融合其他画师的特点）
……行211-行229
⑥wlop和老五样的融合（涩图特攻）
……行230-行242
⑦单画师类（有特色或较稳定的画师）
……行243-行277
⑧法典编撰者的融合和微调
……行278-行290
⑨其他（特殊艺术风格如像素、黑白肖像等）
……行291-行297","名词解释：
①SMEA&DYN:NAI的特殊采样方法，官方介绍，当我们绘画大图的时候容易导致肢体崩坏以及手部崩坏，可以开启这两个功能来出图。（引自darkjungle）
②污染：出现在一词多义的tag上，如以名词为名字的画师，使用时可能会使画面中出现该名词的要素
③老五样：指一个常用画风[artist:ningen_mame],artist:ciloranko,[artist:sho_(sho_lwlw)],[[tianliang duohe fangdongye]],[[artist:rhasta]]；由于其中小纪（ciloranko）为主力，因此本法典中“老五样”有时特指小纪
","①本法典不收录私人画风（愿意分享的除外）。收录的画风大部分来源于解构原典交流群（包括群文件和聊天记录），小部分来源于法典编撰者。
②“你有一个画风，我有一个画风，彼此交换，我们每个人就有了两种画风，甚至多于两种画风。”
                                      ——Pingu","更新日志：
2024.02.07：NAI3画风法典起草，更新了2023年12月初至2024年1月初，解构原典群内出现的部分画风；更新了少量2024年1月解构原典群内出现的部分画风

编撰者：
Pingu(956290590)、KKO(1505978398)",,,,,,,,,,,,,
Artists,Prompt&Setting,SMEA:true,SMEA:false,Postscript,,,,,,,,,,,,,
"naga_u,[tyakomes],henreader,baku-p","naga_u,[tyakomes],henreader,baku-p,1girl,, best quality, amazing quality, very aesthetic, absurdres""
steps:28
height:1216
width:832
scale:6
uncond_scale:1
cfg_rescale:0
seed:1328927159
n_samples:1
hide_debug_overlay:false
noise_schedule:""native""
legacy_v3_extend:false
sampler:""k_dpmpp_2s_ancestral""
controlnet_strength:1
controlnet_model:null
dynamic_thresholding:false
dynamic_thresholding_percentile:0.999
dynamic_thresholding_mimic_scale:10
sm:true
sm_dyn:false
skip_cfg_below_sigma:0
lora_unet_weights:null
lora_clip_weights:null
uc:""nsfw, lowres, {bad}, error, fewer, extra, missing, worst quality, jpeg artifacts, bad quality, watermark, unfinished, displeasing, chromatic aberration, signature, extra digits, artistic error, username, scan, [abstract], bad anatomy, bad hands, @_@, mismatched pupils, heart-shaped pupils, glowing eyes, @_@, toy, chibi, [[[pingu]]]", , ,"①独立风格
卡通
来自收集",,,,,,,,,,,,,
"artist:luicent, [artist:ningen_mame], artist:sumiyao_(amam), artist:astg,","artist:luicent, [artist:ningen_mame], artist:sumiyao_(amam), artist:astg,1girl,, best quality, amazing quality, very aesthetic, absurdres""
steps:28
height:1216
width:832
scale:6
uncond_scale:1
cfg_rescale:0
seed:3723771324
n_samples:1
hide_debug_overlay:false
noise_schedule:""native""
legacy_v3_extend:false
sampler:""k_dpmpp_2s_ancestral""
controlnet_strength:1
controlnet_model:null
dynamic_thresholding:false
dynamic_thresholding_percentile:0.999
dynamic_thresholding_mimic_scale:10
sm:true
sm_dyn:false
skip_cfg_below_sigma:0
lora_unet_weights:null
lora_clip_weights:null
uc:""nsfw, lowres, {bad}, error, fewer, extra, missing, worst quality, jpeg artifacts, bad quality, watermark, unfinished, displeasing, chromatic aberration, signature, extra digits, artistic error, username, scan, [abstract], bad anatomy, bad hands, @_@, mismatched pupils, heart-shaped pupils, glowing eyes, @_@, toy, chibi, [[[pingu]]]", , ,"①独立风格
动漫、漫画
来自收集",,,,,,,,,,,,,
"[[torino]],{as109},[[artist:asanagi]],{artist:torino auqa},artist:saku_usako_(rabbit),[artist:mochizuki kei],{artist:asanagi},","[[torino]],{as109},[[artist:asanagi]],{artist:torino auqa},artist:saku_usako_(rabbit),[artist:mochizuki kei],{artist:asanagi},1girl,, best quality, amazing quality, very aesthetic, absurdres""
steps:28
height:1216
width:832
scale:6
uncond_scale:1
cfg_rescale:0
seed:3681787662
n_samples:1
hide_debug_overlay:false
noise_schedule:""native""
legacy_v3_extend:false
sampler:""k_dpmpp_2s_ancestral""
controlnet_strength:1
controlnet_model:null
dynamic_thresholding:false
dynamic_thresholding_percentile:0.999
dynamic_thresholding_mimic_scale:10
sm:true
sm_dyn:false
skip_cfg_below_sigma:0
lora_unet_weights:null
lora_clip_weights:null
uc:""nsfw, lowres, {bad}, error, fewer, extra, missing, worst quality, jpeg artifacts, bad quality, watermark, unfinished, displeasing, chromatic aberration, signature, extra digits, artistic error, username, scan, [abstract], bad anatomy, bad hands, @_@, mismatched pupils, heart-shaped pupils, glowing eyes, @_@, toy, chibi, [[[pingu]]]", , ,"①独立风格
动漫、漫画
来自收集",,,,,,,,,,,,,
"{{{takemori_shintarou,harada takehito,cool-kyou_shinja}}},kojima_takeshi,{taketora_suzume},[[takeuchi_takashi,lambda_(kusowarota)]],[[[cle_masahiro]]],year_2022,","prompt:""{{{takemori_shintarou,harada takehito,cool-kyou_shinja}}},kojima_takeshi,{taketora_suzume},[[takeuchi_takashi,lambda_(kusowarota)]],[[[cle_masahiro]]],year_2022,1girl, best quality, amazing quality, very aesthetic, absurdres""
steps:28
height:1216
width:832
scale:6
uncond_scale:1
cfg_rescale:0
seed:3597083389
n_samples:1
hide_debug_overlay:false
noise_schedule:""native""
legacy_v3_extend:false
sampler:""k_dpmpp_2s_ancestral""
controlnet_strength:1
controlnet_model:null
dynamic_thresholding:false
dynamic_thresholding_percentile:0.999
dynamic_thresholding_mimic_scale:10
sm:true
sm_dyn:false
skip_cfg_below_sigma:0
lora_unet_weights:null
lora_clip_weights:null
uc:""nsfw, lowres, {bad}, error, fewer, extra, missing, worst quality, jpeg artifacts, bad quality, watermark, unfinished, displeasing, chromatic aberration, signature, extra digits, artistic error, username, scan, [abstract], bad anatomy, bad hands, @_@, mismatched pupils, heart-shaped pupils, glowing eyes, @_@,chibi,toys,[[[Pingu]]]", , ,"①独立风格
动漫、漫画
容易出多人（待证实）
来自收集",,,,,,,,,,,,,
"[[piyodera mucha]],yamamomo (plank),henreader,eufoniuz,year 2023,","[[piyodera mucha]],yamamomo (plank),henreader,eufoniuz,year 2023,1girl, best quality, amazing quality, very aesthetic, absurdres""
steps:28
height:1216
width:832
scale:6
uncond_scale:1
cfg_rescale:0
seed:1196925908
n_samples:1
hide_debug_overlay:false
noise_schedule:""native""
legacy_v3_extend:false
sampler:""k_dpmpp_2s_ancestral""
controlnet_strength:1
controlnet_model:null
dynamic_thresholding:false
dynamic_thresholding_percentile:0.999
dynamic_thresholding_mimic_scale:10
sm:false
sm_dyn:false
skip_cfg_below_sigma:0
lora_unet_weights:null
lora_clip_weights:null
uc:""nsfw, lowres, {bad}, error, fewer, extra, missing, worst quality, jpeg artifacts, bad quality, watermark, unfinished, displeasing, chromatic aberration, signature, extra digits, artistic error, username, scan, [abstract], bad anatomy, bad hands, @_@, mismatched pupils, heart-shaped pupils, glowing eyes, @_@, toy, chibi, [[[pingu]]]", , ,"①独立风格
动漫、漫画
碧蓝档案味
来自收集",,,,,,,,,,,,,
"{artist:eufoniuz},{artist:ogipote},{artist:sy4},[[[artist:sumiyao_(amam)]]],","{artist:eufoniuz},{artist:ogipote},{artist:sy4},[[[artist:sumiyao_(amam)]]],1girl, best quality, amazing quality, very aesthetic, absurdres""
steps:28
height:1216
width:832
scale:6
uncond_scale:1
cfg_rescale:0
seed:2378832111
n_samples:1
hide_debug_overlay:false
noise_schedule:""native""
legacy_v3_extend:false
sampler:""k_dpmpp_2s_ancestral""
controlnet_strength:1
controlnet_model:null
dynamic_thresholding:false
dynamic_thresholding_percentile:0.999
dynamic_thresholding_mimic_scale:10
sm:true
sm_dyn:false
skip_cfg_below_sigma:0
lora_unet_weights:null
lora_clip_weights:null
uc:""nsfw, lowres, {bad}, error, fewer, extra, missing, worst quality, jpeg artifacts, bad quality, watermark, unfinished, displeasing, chromatic aberration, signature, extra digits, artistic error, username, scan, [abstract], bad anatomy, bad hands, @_@, mismatched pupils, heart-shaped pupils, glowing eyes, @_@, toy, chibi, [[[pingu]]]", , ,"①独立风格
动漫、漫画
来自收集",,,,,,,,,,,,,
"{artist:henreader},artist:yapo_(croquis_side),artist:satou_kuuki,[[artist:asanagi]],[[[[artist:sugoihi]]],[artist:shiokonbu],year_2023,","{artist:henreader},artist:yapo_(croquis_side),artist:satou_kuuki,[[artist:asanagi]],[[[[artist:sugoihi]]],[artist:shiokonbu],year_2023,1girl, best quality, amazing quality, very aesthetic, absurdres""
steps:28
height:1216
width:832
scale:6
uncond_scale:1
cfg_rescale:0
seed:1347616582
n_samples:1
hide_debug_overlay:false
noise_schedule:""native""
legacy_v3_extend:false
sampler:""k_dpmpp_2s_ancestral""
controlnet_strength:1
controlnet_model:null
dynamic_thresholding:false
dynamic_thresholding_percentile:0.999
dynamic_thresholding_mimic_scale:10
sm:true
sm_dyn:false
skip_cfg_below_sigma:0
lora_unet_weights:null
lora_clip_weights:null
uc:""nsfw, lowres, {bad}, error, fewer, extra, missing, worst quality, jpeg artifacts, bad quality, watermark, unfinished, displeasing, chromatic aberration, signature, extra digits, artistic error, username, scan, [abstract], bad anatomy, bad hands, @_@, mismatched pupils, heart-shaped pupils, glowing eyes, @_@, toy, chibi, [[[pingu]]]", , ,"①独立风格
动漫、漫画
朝凪（asanagi）的雌小鬼味
来自收集",,,,,,,,,,,,,
"blue-senpai,[[[[[tsukareta_san]]]]],[[[[[[[[[aikome_(haikome)]]]]]]]]],","blue-senpai,[[[[[tsukareta_san]]]]],[[[[[[[[[aikome_(haikome)]]]]]]]]],1girl, best quality, amazing quality, very aesthetic, absurdres""
steps:28
height:1216
width:832
scale:6
uncond_scale:1
cfg_rescale:0
seed:3088394708
n_samples:1
hide_debug_overlay:false
noise_schedule:""native""
legacy_v3_extend:false
sampler:""k_dpmpp_2s_ancestral""
controlnet_strength:1
controlnet_model:null
dynamic_thresholding:false
dynamic_thresholding_percentile:0.999
dynamic_thresholding_mimic_scale:10
sm:true
sm_dyn:false
skip_cfg_below_sigma:0
lora_unet_weights:null
lora_clip_weights:null
uc:""nsfw, lowres, {bad}, error, fewer, extra, missing, worst quality, jpeg artifacts, bad quality, watermark, unfinished, displeasing, chromatic aberration, signature, extra digits, artistic error, username, scan, [abstract], bad anatomy, bad hands, @_@, mismatched pupils, heart-shaped pupils, glowing eyes, @_@, toy, chibi, [[[pingu]]]", , ,"①独立风格
动漫、漫画
来自收集",,,,,,,,,,,,,
